#,key,Title,Link,Preview,Abstract,Year
1,conf/aaai/0001JT16,"Solving QBF Instances with Nested SAT Solvers.",http://www.aaai.org/ocs/index.php/WS/AAAIW16/paper/view/12603,,,0
2,conf/aaai/0001M13,"Multiscale Manifold Learning.",http://www.aaai.org/ocs/index.php/AAAI/AAAI13/paper/view/6372,,,0
3,conf/aaai/0001STS15,"Online Transfer Learning for Differential Diagnosis Determination.",http://aaai.org/ocs/index.php/WS/AAAIW15/paper/view/10102,,,0
4,conf/aaai/0001T15,"Logic Programming in Assumption-Based Argumentation Revisited - Semantics and Graphical Representation.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9827,,,0
5,conf/aaai/0001TZLL14,"Role-Aware Conformity Modeling and Analysis in Social Networks.",http://www.aaai.org/ocs/index.php/AAAI/AAAI14/paper/view/8391,,,0
6,conf/aaai/0001VD15,"Grounded Fixpoints.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9324,,,0
7,conf/aaai/0001YT15,"Robust Subspace Clustering via Thresholding Ridge Regression.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9416,,,0
8,conf/aaai/0002GYSZL14,"Modeling and Mining Spatiotemporal Patterns of Infection Risk from Heterogeneous Data for Active Surveillance Planning.",http://www.aaai.org/ocs/index.php/AAAI/AAAI14/paper/view/8333,,,0
9,conf/aaai/0002Z15,"On the Scalable Learning of Stochastic Blockmodel.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9373,,,0
10,conf/aaai/0002ZL15,"Bayesian Approach to Modeling and Detecting Communities in Signed Network.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9376,,,0
11,conf/aaai/0003MGF14,"Deploying CommunityCommands: A Software Command Recommender System Case Study.",http://www.aaai.org/ocs/index.php/IAAI/IAAI14/paper/view/8153,,,0
12,conf/aaai/0004ZK16,"Fast Nonsmooth Regularized Risk Minimization with Continuation.",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12344,,,0
13,conf/aaai/0005YJZ15,"Online Bandit Learning for a Special Class of Non-Convex Losses.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9586,,,0
14,conf/aaai/0005YYJZ16,"Stochastic Optimization for Kernel PCA.",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/12072,,,0
15,conf/aaai/0011DWQH16,"Mitosis Detection in Breast Cancer Histology Images via Deep Cascaded Networks.",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11788,,,0
16,conf/aaai/0011QCH16,"Deep Contextual Networks for Neuronal Structure Segmentation.",http://www.aaai.org/ocs/index.php/AAAI/AAAI16/paper/view/11789,,,0
17,conf/aaai/AbbasnejadDS15,"Loss-Calibrated Monte Carlo Action Selection.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9512,,,0
18,conf/aaai/AbdelrazekE12,"Visibility Induction for Discretized Pursuit-Evasion Games.",http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5178,,,0
19,conf/aaai/AbdullahLC12,"Towards Population Scale Activity Recognition: A Framework for Handling Data Diversity.",http://www.aaai.org/ocs/index.php/AAAI/AAAI12/paper/view/5169,,,0
20,conf/aaai/AbelML16,"Reinforcement Learning as a Framework for Ethical Decision Making.",http://www.aaai.org/ocs/index.php/WS/AAAIW16/paper/view/12582,,,0
21,conf/aaai/AbergALS06,"A Platform to Evaluate the Technology for Service Discovery in the Semantic Web.",http://www.aaai.org/Library/AAAI/2006/aaai06-196.php,,,0
22,conf/aaai/AbernethySB08,"Application of Artificial Intelligence to Operational Real-Time Clear-Air Turbulence Prediction.",http://www.aaai.org/Library/IAAI/2008/iaai08-005.php,,,0
23,conf/aaai/AbeywardanaR15,"Variational Inference for Nonparametric Bayesian Quantile Regression.",http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9589,,,0
24,conf/aaai/AbolghasemiRBB16,"A Real-Time Technique for Positioning a Wheelchair-Mounted Robotic Arm for Household Manipulation Tasks.",http://www.aaai.org/ocs/index.php/WS/AAAIW16/paper/view/12575,,,0
25,conf/aaai/AbtahiF11,"Deep Belief Nets as Function Approximators for Reinforcement Learning.",http://www.aaai.org/ocs/index.php/WS/AAAIW11/paper/view/3898,,,0
